Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,125.709999,127.739998,125.540001,127.580002,100.577354,5626000
2018-01-03,127.459999,128.940002,126.900002,128.509995,101.310501,5805500
2018-01-04,127.949997,128.350006,127.220001,128.110001,100.995163,4598300
2018-01-05,127.970001,128.100006,127.099998,127.900002,100.829620,4189200
2018-01-08,127.860001,128.630005,127.629997,128.529999,101.326271,4826100
2018-01-09,128.429993,128.940002,127.790001,127.839996,100.782310,4422300
2018-01-10,128.309998,128.759995,127.800003,128.660004,101.428772,5292200
2018-01-11,128.919998,133.320007,128.759995,132.570007,104.511215,11641300
2018-01-12,132.190002,133.850006,132.110001,133.600006,105.323196,7232900
2018-01-16,133.669998,133.880005,131.600006,132.009995,104.069717,6254200
2018-01-17,132.190002,132.800003,130.960007,132.360001,104.345657,5632700
2018-01-18,132.350006,132.500000,131.029999,131.589996,103.738602,5890000
2018-01-19,131.830002,132.000000,130.210007,131.300003,103.509995,6048900
2018-01-22,131.300003,132.559998,131.279999,132.559998,104.503311,5248800
2018-01-23,132.380005,132.559998,130.729996,131.020004,103.289253,5747300
2018-01-24,131.380005,132.669998,131.070007,131.389999,103.580933,6868200
2018-01-25,131.759995,131.869995,130.339996,130.649994,102.997566,4597200
2018-01-26,130.710007,131.750000,130.369995,131.190002,103.423286,6310500
2018-01-29,130.059998,131.580002,128.320007,128.479996,101.286865,6350700
2018-01-30,127.610001,128.009995,125.190002,125.230003,98.724709,8084000
2018-01-31,125.419998,125.820000,124.050003,125.349998,98.819328,9626800
2018-02-01,125.599998,125.629997,124.059998,125.570000,98.992767,7844500
2018-02-02,123.949997,123.949997,117.639999,118.580002,93.482201,13182600
2018-02-05,116.989998,118.300003,108.019997,112.620003,88.783676,15414700
2018-02-06,111.199997,117.629997,110.760002,117.180000,92.378525,18416300
2018-02-07,117.400002,119.269997,115.230003,115.290001,90.888535,11535700
2018-02-08,115.169998,115.889999,112.209999,112.300003,88.531395,9927500
2018-02-09,113.339996,114.620003,109.500000,113.500000,89.477417,10922400
2018-02-12,114.800003,115.849998,112.910004,113.980003,89.855827,8358200
2018-02-13,113.339996,113.610001,111.860001,113.290001,89.311859,7065900
2018-02-14,112.500000,114.050003,111.400002,113.629997,89.579895,7031900
2018-02-15,112.860001,113.019997,110.839996,112.529999,89.595818,5405000
2018-02-16,112.349998,112.940002,111.209999,112.139999,89.285316,5950400
2018-02-20,112.279999,112.760002,110.580002,110.980003,88.361717,6810900
2018-02-21,111.139999,112.059998,109.059998,109.059998,86.833023,6892300
2018-02-22,109.550003,111.440002,108.900002,109.889999,87.493874,8176700
2018-02-23,110.459999,112.739998,110.250000,112.589996,89.643608,6460200
2018-02-26,113.180000,114.660004,112.849998,114.599998,91.243965,7405800
2018-02-27,114.870003,116.050003,113.610001,113.610001,90.455719,6059700
2018-02-28,115.019997,115.459999,111.879997,111.919998,89.110146,7441000
2018-03-01,111.529999,113.900002,110.970001,112.040001,89.205696,7516700
2018-03-02,111.500000,112.180000,109.830002,111.639999,88.887215,6607300
2018-03-05,111.400002,113.330002,111.019997,113.150002,90.089470,7814900
2018-03-06,113.849998,115.519997,113.019997,113.650002,90.487564,7957900
2018-03-07,112.949997,115.080002,112.629997,113.839996,90.638832,6660000
2018-03-08,114.599998,114.750000,112.599998,113.349998,90.248695,6095100
2018-03-09,114.309998,117.389999,114.239998,117.220001,93.329987,8833300
2018-03-12,117.500000,118.349998,116.559998,116.790001,92.987617,6877000
2018-03-13,117.230003,118.180000,116.000000,116.459999,92.724861,6793100
2018-03-14,116.980003,117.449997,114.860001,115.129997,91.665932,5051000
2018-03-15,115.360001,116.209999,114.750000,115.580002,92.024231,4519700
2018-03-16,115.400002,116.190002,114.559998,115.400002,91.880913,14909400
2018-03-19,115.070000,115.230003,113.220001,113.889999,90.678650,4803500
2018-03-20,114.550003,115.699997,114.440002,114.500000,91.164337,4587200
2018-03-21,114.980003,118.110001,114.800003,117.040001,93.186668,6829600
2018-03-22,115.550003,115.739998,113.480003,113.699997,90.527359,6297200
2018-03-23,114.370003,115.769997,112.699997,112.980003,89.954102,6227200
2018-03-26,114.239998,115.589996,113.250000,115.349998,91.841103,6868700
2018-03-27,115.750000,116.860001,113.980003,114.660004,91.291725,5530800
2018-03-28,114.930000,115.260002,112.059998,112.099998,89.253471,6985300
2018-03-29,112.290001,114.430000,112.279999,114.040001,90.798080,6627800
2018-04-02,113.889999,114.389999,110.540001,112.239998,89.364944,6228600
2018-04-03,112.519997,114.980003,112.089996,114.830002,91.427086,6717300
2018-04-04,113.050003,114.790001,112.430000,114.480003,91.148407,5727200
2018-04-05,114.879997,117.889999,114.699997,117.290001,93.385719,7204900
2018-04-06,116.379997,117.010002,113.389999,114.760002,91.371353,7094500
2018-04-09,115.300003,117.169998,114.879997,115.980003,92.342705,6933800
2018-04-10,117.599998,119.830002,117.599998,118.849998,94.627777,7612800
2018-04-11,118.690002,119.379997,117.750000,119.250000,94.946251,6246800
2018-04-12,119.709999,120.669998,118.650002,119.230003,94.930336,6702000
2018-04-13,119.519997,120.790001,119.220001,119.919998,95.479713,5508100
2018-04-16,120.599998,121.709999,119.769997,120.699997,96.100746,4598000
2018-04-17,120.940002,122.000000,120.559998,121.459999,96.705849,6488300
2018-04-18,122.459999,124.889999,122.400002,123.820000,98.584877,9132500
2018-04-19,123.970001,125.000000,123.209999,123.709999,98.497284,7159400
2018-04-20,123.379997,123.459999,121.459999,122.309998,97.382614,7561200
2018-04-23,122.000000,123.610001,121.800003,123.580002,98.393784,6113100
2018-04-24,124.360001,125.040001,121.750000,122.540001,97.565742,7980500
2018-04-25,122.339996,122.900002,121.120003,122.720001,97.709068,5331100
2018-04-26,122.669998,124.300003,122.300003,124.220001,98.903351,6268400
2018-04-27,125.500000,127.050003,124.680000,126.620003,100.814209,8836600
2018-04-30,127.019997,127.900002,125.050003,125.110001,99.611977,7631600
2018-05-01,124.029999,124.919998,123.080002,124.860001,99.412910,7093700
2018-05-02,124.199997,126.470001,124.089996,125.489998,99.914497,5909100
2018-05-03,124.589996,126.120003,123.830002,126.010002,100.328529,6727700
2018-05-04,125.209999,126.839996,124.709999,125.529999,99.946358,5403100
2018-05-07,126.589996,128.399994,124.440002,124.940002,99.476608,6999700
2018-05-08,124.930000,126.750000,123.629997,126.570000,100.774406,8937000
2018-05-09,128.419998,130.419998,128.089996,128.720001,102.486229,11442700
2018-05-10,129.690002,129.779999,128.389999,128.820007,102.565834,5446000
2018-05-11,129.389999,130.759995,128.520004,129.839996,103.377968,8092300
2018-05-14,130.250000,131.080002,129.800003,130.389999,103.815865,6212400
2018-05-15,130.240005,130.270004,129.250000,129.740005,103.298347,5201700
2018-05-16,129.289993,129.720001,128.300003,129.559998,103.155029,5405100
2018-05-17,128.759995,129.570007,128.380005,129.460007,103.974220,5241600
2018-05-18,128.919998,129.149994,127.800003,127.860001,102.689201,6385800
2018-05-21,128.789993,129.410004,128.270004,129.369995,103.901947,5081200
2018-05-22,129.089996,130.389999,128.100006,128.229996,102.986366,5444200
2018-05-23,127.089996,128.789993,126.550003,128.699997,103.363846,6017200
2018-05-24,127.400002,127.400002,125.849998,126.610001,101.685280,5906200
2018-05-25,124.540001,124.760002,121.220001,122.190002,98.135414,8936600
2018-05-29,121.099998,122.430000,120.059998,121.389999,97.492920,7385700
2018-05-30,122.650002,125.669998,122.339996,125.160004,100.520752,7125300
2018-05-31,124.080002,124.820000,123.459999,124.300003,99.830048,7460700
2018-06-01,125.489998,125.550003,123.430000,123.849998,99.468620,5749900
2018-06-04,124.529999,125.410004,122.169998,122.260002,98.191628,5760500
2018-06-05,122.010002,123.709999,121.550003,122.730003,98.569115,5672600
2018-06-06,123.120003,123.690002,122.059998,123.379997,99.091156,6213400
2018-06-07,124.540001,127.980003,124.410004,126.959999,101.966370,8607200
2018-06-08,127.120003,127.379997,125.680000,126.440002,101.548759,5108800
2018-06-11,126.769997,128.190002,125.860001,127.559998,102.448250,6085100
2018-06-12,127.639999,128.380005,126.330002,127.080002,102.062775,4543000
2018-06-13,126.809998,127.820000,126.089996,127.070000,102.054741,6317900
2018-06-14,127.379997,127.959999,126.379997,126.510002,101.604958,5056800
2018-06-15,127.099998,127.120003,123.839996,124.040001,99.621223,13223800
2018-06-18,124.349998,126.980003,124.099998,125.970001,101.171272,7696800
2018-06-19,124.320000,125.889999,123.879997,125.540001,100.825912,5947800
2018-06-20,126.120003,126.459999,124.300003,125.290001,100.625137,7980700
2018-06-21,124.500000,124.589996,122.160004,122.589996,98.456665,7290800
2018-06-22,125.410004,126.570000,124.820000,125.099998,100.472557,8535200
2018-06-25,124.430000,124.639999,121.930000,122.610001,98.472748,5801900
2018-06-26,123.029999,124.610001,122.570000,124.160004,99.717598,4592800
2018-06-27,125.150002,127.419998,125.059998,126.000000,101.195381,6339500
2018-06-28,126.540001,126.860001,125.000000,125.660004,100.922310,3814800
2018-06-29,125.739998,127.730003,125.739998,126.430000,101.540726,5669700
2018-07-02,125.279999,125.290001,123.559998,124.250000,99.789871,5073500
2018-07-03,125.459999,126.690002,124.550003,124.730003,100.175385,3919600
2018-07-05,126.110001,126.250000,123.820000,123.980003,99.573029,5926900
2018-07-06,123.519997,124.519997,123.190002,124.139999,99.701546,4020000
2018-07-09,125.000000,126.279999,124.690002,125.989998,101.187347,4602200
2018-07-10,127.330002,128.509995,126.750000,127.589996,102.472359,5092100
2018-07-11,126.230003,126.680000,122.970001,123.519997,99.203583,6631800
2018-07-12,124.440002,124.949997,123.589996,124.260002,99.797920,3745200
2018-07-13,124.199997,124.879997,123.629997,124.040001,99.621223,3352800
2018-07-16,123.010002,123.879997,121.879997,122.980003,98.769897,4317800
2018-07-17,122.360001,122.959999,121.800003,121.910004,97.910553,4135200
2018-07-18,121.239998,121.669998,119.669998,121.529999,97.605362,6061300
2018-07-19,121.099998,122.139999,121.010002,121.669998,97.717789,4471400
2018-07-20,121.250000,122.349998,121.010002,122.269997,98.199669,5394700
2018-07-23,122.349998,123.070000,121.160004,121.330002,97.444710,5359400
2018-07-24,121.870003,124.160004,121.860001,123.849998,99.468620,4423500
2018-07-25,123.620003,125.230003,123.269997,124.900002,100.311928,4278800
2018-07-26,124.699997,125.379997,123.800003,123.949997,99.548920,5544100
2018-07-27,122.790001,127.040001,122.080002,125.970001,101.171272,7580900
2018-07-30,126.760002,128.410004,126.220001,127.830002,102.665100,5729300
2018-07-31,128.000000,128.550003,126.129997,126.269997,101.412216,5894400
2018-08-01,125.309998,125.919998,124.750000,125.389999,100.705460,4661000
2018-08-02,124.440002,124.809998,123.300003,123.760002,99.396355,4639600
2018-08-03,124.150002,124.250000,123.330002,124.050003,99.629265,5299400
2018-08-06,124.419998,124.940002,123.540001,124.300003,99.830048,4455900
2018-08-07,125.540001,125.699997,124.750000,125.180000,100.536804,4542000
2018-08-08,124.519997,124.790001,123.320000,123.879997,99.492714,5957200
2018-08-09,123.959999,124.370003,122.260002,122.529999,98.408478,5218300
2018-08-10,122.169998,123.519997,121.500000,123.339996,99.059013,6128000
2018-08-13,123.309998,123.680000,122.260002,122.440002,98.336197,4360000
2018-08-14,122.919998,123.650002,122.000000,122.580002,98.448647,3622200
2018-08-15,121.699997,121.730003,117.430000,117.940002,94.722092,9476700
2018-08-16,117.699997,118.309998,117.180000,117.660004,95.403168,5455200
2018-08-17,118.150002,118.580002,117.089996,117.800003,95.516708,6112900
2018-08-20,118.000000,118.320000,117.330002,117.750000,95.476158,5403600
2018-08-21,118.379997,118.930000,117.790001,117.940002,95.630211,4875800
2018-08-22,118.540001,119.459999,118.419998,118.919998,96.424828,3636900
2018-08-23,118.389999,118.820000,117.699997,118.099998,95.759956,3962500
2018-08-24,118.900002,119.540001,118.720001,119.010002,96.497810,4415400
2018-08-27,119.360001,120.480003,119.169998,120.349998,97.584328,3901900
2018-08-28,120.599998,121.339996,119.750000,119.860001,97.187019,4685700
2018-08-29,120.000000,120.830002,119.879997,120.220001,97.478928,4101700
2018-08-30,120.080002,120.430000,119.550003,119.809998,97.146477,3353000
2018-08-31,119.400002,119.400002,118.089996,118.459999,96.051857,5287000
2018-09-04,118.930000,119.629997,118.349998,118.870003,96.384308,4590900
2018-09-05,118.059998,118.940002,117.260002,118.919998,96.424828,4619400
